"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",255.6009255,33.01513929,3.05,88.69,481.61,3978.36,0.463237274,897.3553274
"2",249.675412,31.85233383,3.25,88.19,467.14,3832.02,0.464821533,926.0735255
"3",250.5481621,30.89918714,3.34,88.3,445.77,3635.96,0.466405792,1042.798676
"4",242.7623131,34.44243529,3.56,88.21,450.91,3681.69,0.467039496,992.7135602
"5",250.2266226,37.08699624,4.01,87.45,456.5,3758.37,0.467356347,1012.170121
"6",249.6065107,38.84827246,4.25,87.14,444.27,3624.96,0.468940606,1081.093764
"7",223.2402728,39.76107236,4.26,85.96,458.26,3764.5,0.470208013,1048.666152
"8",214.0993645,37.70854537,4.47,85.73,475.49,3913.42,0.472109124,1041.641305
"9",207.8752787,35.6471288,4.73,84.76,462.71,3843.19,0.473376531,1114.003857
"10",198.7114033,35.92782122,4.76,84.08,472.35,3908.12,0.473693383,1142.218314
"11",205.3948312,37.40576303,5.29,84.27,453.69,3739.23,0.474327086,1157.049582
"12",206.3824168,35.9224535,5.45,86.12,459.27,3834.44,0.474327086,1184.561966
"13",202.5009758,36.97943799,5.53,88.03,470.42,3843.86,0.476228197,1128.409179
"14",203.6493311,37.93667935,5.92,87.25,487.39,4011.05,0.478129307,1173.327885
"15",209.3451735,36.32338912,5.98,86.03,500.71,4157.69,0.479713566,1310.129633
"16",211.2744104,38.00654354,6.05,82.62,514.71,4321.27,0.481297825,1256.254488
"17",211.6418841,38.241707,6.01,82.18,533.4,4465.14,0.48224838,1276.183589
"18",216.6487133,35.57287955,6,82.23,544.75,4556.1,0.483198935,1313.598984
"19",226.9150098,33.31136111,5.85,82.19,562.06,4708.47,0.483198935,1231.441165
"20",218.9224568,35.22780849,5.74,84.25,561.88,4610.56,0.484466342,1193.224485
"21",232.587885,36.38778688,5.8,85.23,584.41,4789.08,0.485416898,1274.304246
"22",240.9938459,34.64881168,5.76,85.23,581.5,4755.48,0.487001157,1295.367817
"23",249.7443134,36.25634126,5.8,86.18,605.37,5074.49,0.486684305,1307.189974
"24",263.9609521,39.25218435,5.6,86.37,615.93,5117.12,0.486367453,1298.079752
"25",270.1161366,39.19699324,5.56,86.8,636.02,5395.3,0.489219119,1241.658397
"26",268.255801,38.62239208,5.22,86.79,640.43,5485.62,0.490803378,1283.350144
"27",265.7753535,42.50755869,5.31,86.83,645.5,5587.14,0.493338192,1331.221519
"28",290.4190585,45.9667706,5.22,86.68,654.17,5569.08,0.495239302,1285.227388
"29",295.5177561,42.57705396,5.24,86.79,669.12,5643.18,0.496189858,1294.137089
"30",284.6083807,41.79184638,5.27,87.1,670.63,5654.63,0.496506709,1285.974888
"31",288.7654269,43.34930779,5.4,87.15,639.95,5528.91,0.497457265,1313.709469
"32",296.2986377,44.86073531,5.22,86.53,651.99,5616.21,0.49840782,1245.193449
"33",297.4929273,49.67931943,5.3,86.84,687.33,5882.17,0.499992079,1304.148235
"34",259.8039059,52.61805462,5.24,87.38,705.27,6029.38,0.501576338,1394.066593
"35",255.279386,49.90170219,5.31,86.98,757.02,6521.7,0.502526893,1367.527198
"36",257.1626887,52.91153117,5.29,87.49,740.74,6448.27,0.502526893,1333.03174
"37",268.0950313,53.09330359,5.25,88.23,786.16,6813.09,0.504111152,1284.576056
"38",280.5432028,47.94716403,5.19,89.73,790.82,6877.74,0.50569541,1273.471171
"39",305.875921,45.60023932,5.39,90.58,757.12,6583.48,0.506962817,1333.45257
"40",313.3631977,42.3526735,5.51,90.79,801.34,7009,0.507596521,1347.897657
"41",319.8399216,45.29424406,5.5,89.48,848.28,7331,0.507279669,1345.878996
"42",304.7734999,41.77590309,5.56,89.17,885.14,7672.8,0.507913373,1359.387177
"43",281.1633147,43.1122456,5.52,90.12,954.31,8222.6,0.508547076,1359.259191
"44",267.5897549,44.62212069,5.54,91.66,899.47,7622.4,0.509497632,1246.990277
"45",255.2104847,44.37756187,5.54,91.8,947.28,7945.3,0.510765039,1367.604999
"46",250.754866,47.256346,5.5,92.27,914.62,7442.1,0.512032446,1433.537656
"47",265.4308469,45.11937237,5.52,93.79,955.4,7823.1,0.511715594,1374.996491
"48",254.5903728,41.17245619,5.5,96.76,970.43,7908.3,0.51108189,1377.975632
"49",246.000675,36.60674167,5.56,99.16,980.28,7906.5,0.512032446,1286.900044
"50",247.4246356,33.95635182,5.51,97.66,1049.34,8545.72,0.512983001,1318.356085
"51",240.1210958,31.81446738,5.49,97.25,1101.75,8799.81,0.513933556,1390.033404
"52",235.0912996,32.88697216,5.45,97.07,1111.75,9063.37,0.514884111,1348.972165
"53",236.1477865,33.52285937,5.49,97.78,1090.82,8899.95,0.515834667,1333.090109
"54",231.1179902,31.00200877,5.56,99.92,1133.84,8952.02,0.51646837,1356.993259
"55",232.4271153,31.11121592,5.54,100.36,1120.67,8883.29,0.517102074,1339.55956
"56",202.2483376,30.46836481,5.55,102.11,957.28,7539.07,0.517735777,1227.544715
"57",193.3371004,32.67275058,5.51,100.37,1017.01,7842.62,0.518369481,1373.361326
"58",200.7554757,30.55279605,5.07,97.38,1098.67,8592.1,0.519636888,1434.157498
"59",209.896384,27.70866516,4.83,97.07,1163.63,9116.55,0.519636888,1386.234199
"60",204.912522,24.09554819,4.68,96.16,1229.23,9181.43,0.519320036,1382.052669
"61",195.0366663,26.22109042,4.63,96.21,1279.64,9358.83,0.520587443,1950.298976
"62",179.6716722,25.22150763,4.76,97.24,1238.33,9306.58,0.521221147,1954.565933
"63",175.0552838,31.3652843,4.81,98.44,1286.37,9786.16,0.522805405,2108.550418
"64",177.5357313,37.70217505,4.74,98.13,1335.18,10789.04,0.526607627,2003.44588
"65",171.4494482,38.69840491,4.74,97.88,1301.84,10559.74,0.526607627,1980.166825
"66",170.0025205,39.63966698,4.76,98.44,1372.71,10970.8,0.526607627,2068.548645
"67",158.3122634,45.49891028,4.99,98.76,1328.72,10655.15,0.528191885,2060.357671
"68",172.0006587,48.06034887,5.07,97.64,1320.41,10829.28,0.529459292,2001.247537
"69",180.6362907,53.68139387,5.22,97,1282.71,10336.95,0.531994107,2171.732179
"70",178.1788103,50.97979757,5.2,96.6,1362.93,10729.86,0.532944662,2244.074328
