"","Mes","precio_t.1","precio","petroleo","int","tcambio","sp500","dji","IPC","Fert","C.W","S.W","P.W","X_mundial"
"1","1/1/2011",512.0524677,511.104867,193.3070873,0.17,80.91,1286.12,11891.93,0.697780453,162.5826433,255.49,58.28,255.53,5853.30716
"2","1/2/2011",498.7398132,512.0524677,200.974708,0.16,80.24,1327.22,12226.34,0.701221464,167.1720956,255.29,58.21,256.1,5988.780191
"3","1/3/2011",501.4688317,498.7398132,220.807182,0.14,79.88,1325.83,12319.73,0.708059125,171.4923147,256.61,58.33,258.4,6657.791279
"4","1/4/2011",498.7651078,501.4688317,233.93434,0.1,78.83,1363.61,12810.54,0.712618621,173.5264803,255.77,60.94,260.97,6451.081941
"5","1/5/2011",499.7727759,498.7651078,217.4428595,0.09,78.99,1345.2,12569.79,0.715970913,172.0953208,262.69,61.85,263.29,6577.300233
"6","1/6/2011",501.8270828,499.7727759,212.9653405,0.09,78.96,1320.64,12414.34,0.715204132,178.5884416,263.21,61.59,262.79,6563.818268
"7","1/7/2011",501.4237008,501.8270828,218.5548767,0.07,78.43,1292.28,12143.24,0.715837835,193.9653356,262.65,61.97,261.45,6552.478596
"8","1/8/2011",490.9089548,501.4237008,201.0947575,0.1,78.86,1218.89,11613.53,0.717811822,197.7051809,262.32,60.95,257.47,6496.895116
"9","1/9/2011",446.016027,490.9089548,205.5164963,0.08,80.98,1131.42,10913.38,0.718901792,196.1878659,262.24,62.55,258.99,6583.942794
"10","1/10/2011",428.8252245,446.016027,204.4863329,0.07,81.47,1253.3,11955.01,0.717418926,195.6702461,261.75,63.01,258.6,6450.933631
"11","1/11/2011",420.0461048,428.8252245,215.4017119,0.08,81.79,1246.96,12045.68,0.716813739,192.942182,261.03,63.56,258.91,6495.68591
"12","1/12/2011",441.7327614,420.0461048,215.6478914,0.07,82.1,1257.6,12217.56,0.715045706,179.2250878,260.09,64.54,259.22,6250.28139
"13","1/1/2012",461.5559876,441.7327614,223.2483857,0.08,81.82,1312.41,12632.91,0.718192044,170.3201045,259.3,63.43,257,6021.464483
"14","1/2/2012",496.2904752,461.5559876,233.8120361,0.1,80.5,1365.68,12952.07,0.721354224,163.6874533,258.05,60.28,251.47,6334.990209
"15","1/3/2012",529.4216015,496.2904752,245.7912876,0.13,81.22,1408.47,13212.04,0.726832591,169.0548222,254.9,57.3,245.07,6675.556932
"16","1/4/2012",520.9254559,529.4216015,236.9286207,0.14,81.56,1397.91,13213.63,0.729028374,198.4261214,253.2,55.52,240.15,6300.353922
"17","1/5/2012",522.3291925,520.9254559,218.9970475,0.16,83.02,1310.33,12393.45,0.728172874,204.9511032,265.14,58.07,271.42,6424.97877
"18","1/6/2012",609.4467555,522.3291925,192.8054479,0.16,84.19,1362.16,12880.09,0.727105084,174.3288758,264.95,58.54,271.03,6299.822415
